id,url,name,description,outings,typeOfCourse,duration
1,https://sigarra.up.pt/faup/pt/cur_geral.cur_view?pv_curso_id=45,Mestrado Integrado em Arquitetura ,"Herdeiro de uma longa tradição para a qual contribuíram figuras como Álvaro Siza e Eduardo Souto de Moura (vencedores do prestigiado prémio Pritzker em 1992 e 2011, respetivamente), o curso de arquitetura da “Escola do Porto” proporciona-te uma formação generalista orientada para o exercício da profissão, e amplamente reconhecida internacionalmente.","Gabinetes de arquitetura e urbanismo, colaborando no desenvolvimento do projeto em todas as suas fases e em áreas como a reabilitação, projeto urbano, sustentabilidade, entre outras. As habilitações permitem igualmente a prática da docência e investigação em instituições de ensino superior, bem como a integração em autarquiase serviços centrais do Estado, a colaboração em empresas de construção, fiscalização e gestão de obra ou serviços de consultadoria.",Mestrado Integrado,10 Semestres / 300 ECTS
2,https://sigarra.up.pt/fbaup/pt/cur_geral.cur_view?pv_curso_id=1315,Licenciatura em Artes Plásticas ,"A Licenciatura em Artes Plásticas da FBAUP tem como objetivo a formação de profissionais polivalentes através de uma sólida preparação teórica e prática, nos territórios da criação, investigação e expressão plástica.Depois de um primeiro ano comum, a Licenciatura desenvolve-se por três ramos de especialização: Escultura, Multimédia e Pintura. No final, o curso confere acesso a cursos de pós-graduação e mestrado nacionais e internacionais nos domínios da prática artística, estudos de artes visuais, curadoria e educação artística. Ao longo da licenciatura, os estudantes beneficiam também de programas de mobilidade internacional que oferecem oportunidades adicionais de formação e enriquecimento pessoal.","Atividade de produção artística nos domínios da escultura, multimédia e pintura, atividade no mercado artístico e editorial, atividade nas áreas do teatro, da televisão e similares, ensino artístico e formação tecnológica, direção, gestão e coordenação de equipas, estudos de índole tecnológica ou artística, desenvolvimento de projetos para o espaço público e privado, colaboração com organizações culturais, públicas e privadas.",Licenciatura,8 Semestres / 240 ECTS
3,https://sigarra.up.pt/fbaup/pt/cur_geral.cur_view?pv_curso_id=26741,Licenciatura em Desenho ,"Com um programa intensivo, este curso explora o desenho na relação entre o campo artístico e outras aplicações profissionais em diversos setores: narrativa gráfica, ilustração científica e médica, desenho para a animação, reportagem gráfica, desenho digital aplicado, mediação cultural e educativa.",,Licenciatura,6 Semestres
4,https://sigarra.up.pt/fbaup/pt/cur_geral.cur_view?pv_curso_id=1314,Licenciatura em Design de Comunicação ,"A Licenciatura em Design de Comunicação da FBAUP tem como objetivo a formação de profissionais de excelência nos diversos campos do design de comunicação contemporâneo, desenvolvendo-se através de duas componentes complementares: a prática, fortemente associada às realidades culturais e de mercado, e a conceptual e investigativa, que permite aos futuros designers construir os seus espaços de autoria, desenvolvimento e crítica. A Licenciatura em Design de Comunicação confere ainda acesso a cursos de pós-graduação e mestrado nacionais e internacionais em áreas do design, multimédia, ilustração, artes e estudos de cultura visual. Os estudantes beneficiam também de programas de mobilidade internacional que oferecem oportunidades adicionais de formação e enriquecimento pessoal.","Exercício da profissão liberal, liderança e integração em equipas multidisciplinares de design de comunicação, multimédia e media digitais, consultoria de design, curadoria de exposições ou eventos ligados ao design e à cultura visual, prática pedagógica nas áreas do design e cultura visual.",Licenciatura,8 Semestres / 240 ECTS
5,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=1011,Licenciatura em Arquitetura Paisagista ,"Sabias que os arquitetos paisagistas planeiam, projetam e gerem espaços exteriores onde as pessoas vivem, trabalham e se divertem, harmonizando valores estéticos, funcionais e ambientais? Ao optares por este curso, terás assim a possibilidade de combinar ciência e arte numa formação orientada para o estudo e intervenção em domínios que vão desde a escala do ordenamento do território e da conservação e gestão de grandes e complexas paisagens, até ao projeto de qualificação do espaço público e de parques e jardins de diversas tipologias.","Os licenciados em Arquitetura Paisagista estão aptos a integrar gabinetes de arquitetura paisagista, arquitetura, urbanismo e engenharia, autarquias e serviços centrais do Estado, instituições detentoras ou gestoras de paisagens, empresas de construção e manutenção de espaços verdes. O cariz profissionalizante do curso potencia ainda a possibilidade de criação dos seus próprios ateliês de estudos e projetos ou de empresas de construção e manutenção.",Licenciatura,6 Semestres / 180 ECTS
6,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=29881,Licenciatura em Bioinformática ,"A Bioinformática é uma disciplina na interface das revoluções em curso na Biologia e Ciência de Computadores. Tem como objetivo analisar e compreender dados biológicos e biomédicos, em particular ao nível celular e molecular. Envolve o desenvolvimento e a aplicação de algoritmos e ferramentas computacionais, nomeadamente de inteligência artificial e machine learning, para organizar, analisar e extrair informações relevantes de grandes conjuntos de dados biológicos, contribuindo para avanços em áreas como a genómica e outras ómicas, genética, biologia de sistemas, patologia, ecologia, evolução, epidemiologia, entre outras.","- Atividades Científico-Tecnológicas em Laboratórios de Instituições de Saúde (p.ex. centros hospitalares e institutos de saúde pública)- Atividades Científico-Tecnológicas de I&D ou de transferência de tecnologia em empresas (p.ex. desenvolvimento de software, farmacêuticas, centros de diagnóstico)- Atividades de Consultoria e Análise de Dados Biomédicos- Investigação Científica em Universidades ou Centros de Investigação",Licenciatura,6 Semestres / 180 ECTS
7,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=884,Licenciatura em Biologia ,"A licenciatura em Biologia permite-te obter uma ampla formação teórica e prática (labo­ratorial e de campo) em domínios tão variados como a Biodiversidade, Biologia Humana, Ecologia, Evolução, Fisiologia, Genética e Microbiologia, abor­dados nos aspetos clássicos e modernos decorrentes da Biologia Celular e Molecular, Bioquímica e Biotec­nologia.","- Ambiente e Gestão de Recursos Biológicos,- Saúde e Análises Forenses, - Indústrias Alimentar, Farmacêutica e Biotecnológicas,- Produção Animal e Vegetal, - Divulgação em Ciência, - Investigação e Ensino",Licenciatura,6 Semestres / 180 ECTS
8,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=863,Licenciatura em Bioquímica ,"Na Licenciatura em Bioquímica da FCUP encontrarás uma sólida base de conhecimentos fundamentais na área da Bioquímica. Esses conhecimentos traduzem-se por sua vez em competências científicas e tecnológicas aplicáveis em domínios como a Investigação em Laboratórios de Univer­sidades, Centros de Investigação ou empresas, em ciência básica ou aplicada, a compreensão ao nível molecular da arquitetura, divisão e diferen­ciação das células¸ ou a manipu­lação de moléculas e células para produção de substâncias com atividade biológica (ex: novos fármacos).","O Licenciado em Bioquímica estará apto a desempenhar funções técnicas em indústrias e serviços em diversas áreas científicas, incluindo não só a Bioquímica, mas também a Biofísica, a Biologia Molecular e Celular, a Fisiologia e a Microbiologia. O plano curricular permite ainda a aquisição de competências em áreas científicas facultadas em regime de opção como a Imunologia, a Química Alimentar e a Ecologia, entre outras.",Licenciatura,6 Semestres / 180 ECTS
9,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=885,Licenciatura em Ciência de Computadores ,"Se és um/a apaixonado/a pelos computadores, neste curso irás adquirir as competências necessárias para desempenhar funções nos domínios da consultoria em tecnologias da informação, desenho, implementação, desenvolvimento e gestão de sistemas de informação, instalação e administração de sistemas em rede, gestão e desenvolvimento de bases de dados, programação para sistemas móveis/web e multimédia, ensino de tecnologias de informação, e investigação.","Um licenciado em sistemas computacionais pode exercer funções na Indústria de tecnologias de informação, departamentos e/ou serviços de informática, companhias de telecomunicações fixas e móveis, empresas de desenvolvimento de software, ensino médio e superior, e laboratórios de investigação.",Licenciatura,6 Semestres / 180 ECTS
10,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=887,Licenciatura em Ciências e Tecnologia do Ambiente ,"A defesa do ambiente é uma das tuas causas? Então este é o curso certo para ti! Na Licenciatura em Ciências e Tecnologia do Ambiente, encontrarás a formação científica e tecnológica necessária para desempenhares funções em domínios como: avaliação e monitorização da qualidade do ambiente / controlo da poluição, desenvolvimento e gestão de Unidades de Tratamento de Águas Residuais, gestão e conservação de recursos naturais e de resíduos sólidos, dinamização de atividades de Educação Ambiental, investigação.","Empresas de serviços na área do Ambiente. Indústrias. Administração central e local. Entidades que promovam ações de educação ambiental. Áreas naturais com estatuto de conservação e proteção. Empresas de consultoria, de fiscalização e monitorização ambiental. Centros de Investigação. Docência Universitária.",Licenciatura,6 Semestres / 180 ECTS
11,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=20141,Licenciatura em Engenharia Agronómica ,"O 1º ciclo em Engenharia Agronómica tem como objetivo dotar o estudante de uma sólida formação ancorada nas ciências de base da Agronomia, com um percurso centrado na Produção Agrária ou um percurso alternativo centrado na Tecnologia e Ciência Alimentar, de modo a criar e consolidar competências indispensáveis a uma futura profissionalização qualificada nas áreas da produção primária e secundária, respetivamente.","- Engenheiro agrónomo em empresas de produção primária vegetal ou animal ou de consultoria, assim como serviços ou entidades de relação da agricultura com o ambiente, indústria e desenvolvimento rural,- 2º ciclo, nomeadamente Mestrados em Engenharia Agronómica e em Engenharia de Viticultura e EnologiaFormação Complementar em Tecnologia e Ciência Alimentar- Funções em empresas dos setores da transformação, distribuição e comercialização de produtos alimentares e de serviços de apoio à indústria alimentar- 2º ciclo, nomeadamente Mestrados em Ciências do Consumo e Nutrição, Tecnologia e Ciência Alimentar, Vinho, Turismo e Inovação",Licenciatura,6 Semestres / 180 ECTS
12,https://sigarra.up.pt/fcup/pt/cur_geral.cur_view?pv_curso_id=24261,Licenciatura em Engenharia e Biotecnologia Florestal ,"Resultado de uma aposta inovadora de formação interuniversitária, oferecida em parceria pela Universidade de Trás-os-Montes e Alto Douro e pela Universidade do Porto, a licenciatura em Engenharia e Biotecnologia Florestal (sediada na UTAD) combina o conhecimento do setor florestal com novas ferramentas na fronteira do desenvolvimento tecnológico, como as biotecnologias, a observação remota da Terra ou a inteligência artificial. Pretende-se desta forma formar técnicos qualificados para potenciar a Floresta como fonte de rendimento e de valorização social, no quadro dos desafios do desenvolvimento sustentável.","Atividades Técnicas, de Investigação e de Consultoria, em entidades públicas ou privadas:- Associações de produtores e/ou proprietários florestais- Empresas de gestão e planeamento de recursos naturais- Gabinetes de projeto e de consultoria- Indústrias biotecnológicas e florestais- Instituições de ensino superior, de investigação científica e desenvolvimento tecnológico- Serviços centrais e regionais da administração pública, autarquias e comunidades intermunicipais",Licenciatura,6 Semestres / 180 ECTS
